,Avicii
20,"Feel like I've been waiting so long for tonight;. Cause I just can't get you out of my mind.. Can you feel my heart beating so fast?. Now you're hereâno, there's no turning back.Oh, I think I'm fallingâcan't hold on no more.. Enough is enough, enough is enoughâjust gotta let go.. And as my grip unwinds, I feel your hand in mine.. No, I never felt, never felt like this before.Come on babe, don't give up on us.. Choose me and I'll show you love,. Let me show you love,. Let me show you love,. Let me show you love.If you cry, I'll be there at your side;. If you lost, I'll be there shining my light.. Cause every touch lifts me up to the stars,. Cause nothing could ever keep us apart.Oh, I think I'm fallingâcan't hold on no more.. Enough is enough, enough is enoughâjust gotta let go.. And as my grip unwinds, I feel your hand in mine.. No, I never felt, never felt like this before.Come on babe, don't give up on us.. Choose me and I'll show you love,. Let me show you love,. Let me show you love,. Let me show you love.. "
21,"Step out into the dawn. You pray 'til, you pray 'til the lights come on. And don't you feel like you've just been born?. Yeah, you come to raise me up. When I'm beaten and broken up. And I'm back in the arms I love. And I think I just died. I think I just died. Yeah, I think I just died. I think I just died. And went to heaven (ohh). And went to heaven (ohh). And went to heaven. It's such a night, such a beautiful night. It's such a beaut', such a beautiful sight. I think I just, oh, I think I just died (ohh). And went to heaven. And went to heaven (ohh). We're go be birds, we'll fly. We'll go, set the world alight. We're gunna lose ourselves tonight (ohh). We're go be birds, we'll fly. We'll go, set the world alight. We're gunna lose ourselves tonight (ohh). Heaven"
22,Remember all those nights. When all our neighbours could hear us sing. Remember all the fights. And all the make ups that they would bringBut now those days are gone. And summers turned to fall. You know how much I know. But please I beg don't callI'm trying to leave you alone. I've been dying to pick up the phone. And around and around and they always go. But I can't love you again. Can't love you again
23,Steady yourself even though you've only been fallen. Maybe you're falling but you're still alive. Ready yourself that's quite enough of your bawling. Cause baby you're bawling but you'll surviveLosing is only a sign. It's only a sign that you really tried (really tried). Losing is only a sign. It's only a sign that you really tried (really tried)Forever trading places with the same old me. Racking up the cases of who I failed to be. Why would I replace the sky?. Why would I recreate that perfect blue?. What would I change it to?. Oh won't you tell me. What would I change it to?. Oh wouldn't you tell me. What would I change it to?You can copy and paste your head on a new body. But that new body still made of flesh. Cutting corners gets you where you're going. But how you get there is the real testLosing is only a sign. It's only a sign that you really tried (really tried). Losing is only a sign. It's only a sign that you really tried (really tried)Forever trading places with the same old me. Racking up the cases of who I failed to be. Why would I replace the sky?. Why would I recreate that perfect blue?. What would I change it to?. Oh won't you tell me. What would I change it to?. Oh wouldn't you tell me. What would I change it to?
24,"Do you think about me when you're all alone?. The things we used to do, we used to be. I could be the one to make you feel that way. I could be the one to set you freeDo you think about me when the crowd is gone?. It used to be so easy, you and me. I could be the one to make you feel that way. I could be the one to set you freeI could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you freeWhen you need a way to beat the pressure down. When you need to find a way to breathe. I could be the one to make you feel that way. I could be the one to set you freeIf you never see me when the crowd is gone. It used to be so easy, can't you see?. I could be the one to make you feel that way. I could be the one to set you free...I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free"
25,"You stripped your love down to the wire. Fire shining cold alone outside. You stripped it right down to the wire. But I see you behind those tired eyesNow as you wade through shadows that live in your heart. You'll find the light that leads on. Cause I see you for you and your beautiful stars. So take my hand, don't let goCause it's not too late, it's not too late. I see the hope in your heart. And sometimes you lose it, sometimes you're shooting. Broken arrows in the dark. But I see the hope in your heartI've seen the darkness in the light. The kind of blue that leaves you lost and blind. The only thing that's black and white. Is that you don't have to walk alone this timeWe have to tear down walls that live in your heart. To find someone you call home. Now you see me for me and my beautiful scars. So take my hand, don't let goCause it's not too late, it's not too late. I see the hope in your heart. And sometimes you lose it, sometimes you're shooting. Broken arrows in the dark. But I see the hope in your heartIt's not too late, it's not too late. I see the hope in your heart. Sometimes losing, sometimes shooting. Broken arrows in the dark"
26,"Hurt. On caution weep. With bleeding sky. I called your name. There was no one there. And in the cold and snow. I saw your faceI sang the song for the little things. Magic call, but the joy you bring. Running it down the line. Wish you could find that love is a fragile thing. Magic call from a pretty thing. Maybe it might be time. For a better day. For a better day. For a better dayStraight, from the path of love. In the road of life. I tumble forward. But going on, I'mma keep it strong. I saw your faceI sang the song for the little thing. Magic call, but the joy you bring. Running it down the line. Wish you could find that love is a fragile thing. Magic call from a pretty thing. Maybe it might be time. For a better day. For a better day. For a better day. For a better day. For a better day. For a better dayI sang the song for the little thing. Magic call, but the joy you bring. Running it down the line. Wish you could find that love is a fragile thing. Magic come from a pretty thing. Maybe it might be time. For a better day"
27,"It's you and your world and I'm caught in the middle. I caught the edge of a knife and it hurts just a little. And I know, and I know, and I know, and I know that I can't be your friend. It's my head or my heart, and I'm caught in the middleMy hands are tied, but not tied enough. You're the high that I can't give up. Oh lord, here we goI might hate myself tomorrow. But I'm on my way tonight. At the bottom of a bottle. You're the poison in the wine. And I know. I can't change you and I. I won't change. I might hate myself tomorrow. But I'm on my way tonightLet's be lonely together. A little less lonely togetherEyes wide shut and it feels like the first time. Before the rush to my blood was too much and we flatlined. And I know, and I know, and I know, and I know just how this ends. Now I'm all messed up and it feels like the first timeI might hate myself tomorrow. But I'm on my way tonight. At the bottom of a bottle. You're the poison in the wine. And I know. I can't change you, and I. I won't change. I might hate myself tomorrow. But I'm on my way tonightLet's be lonely together. A little less lonely together. Let's be lonely together. A little less lonely togetherMy hands are tied, but not tied enough. You're the high that I can't give up. Oh lord, here we goI might hate myself tomorrow. But I'm on my way tonight. At the bottom of a bottle. You're the poison in the wine. And I know. I can't change you, and I. I won't change. I might hate myself tomorrow. But I'm on my way tonightLet's be lonely together. A little less lonely together. Let's be lonely together. A little less lonely together. A little less lonely now. A little less lonely now. A little less lonely now"
28,"I need to feel that radio activity. Want you to be the heartbeat inside of me?. Yeah, I need to feel that radio activity. Come with me, this is the sound of the young and freeI need to feel that radio activity. Want you to be the heartbeat inside of me?. Yeah, I need to feel that radio activity. Come with me, this is the sound of the young and free. I need to feel that radio activity. Want you to be the heartbeat inside of me?. Yeah, I need to feel that radio activity. Come with me, you'll break the law if you come with meThis is the sound of the young and free. Go with me you'll break the law if you go with me"
29,"We are one. One for sure. All united. You'll want some more. Oh-oh-oh-oh. You make me. Oh-oh-oh-oh. You make meWe are one. One for sure. All united. You'll need no more. Oh-oh-oh-oh. You make me. Oh-oh-oh-ohAll my life, I've been. I've been waiting for someone like you, yeah. All my life, I've been. I've been waiting for someone like you, yeahI've been looking for someone like you, yeah. I've been waiting for someone like you. Like you, like you, like you, like you, yeah. You make meWe are one. One for sure. All united. You'll want some more. Oh-oh-oh-oh. You make me. Oh-oh-oh-oh. You make meWe are one. One for sure. All united. You'll need no more. Oh-oh-oh-oh. You make me. Oh-oh-oh-ohAll my life, I've been. I've been waiting for someone like you, yeah. All my life, I've been. I've been waiting for someone like you, yeahI've been looking for someone like you, yeah. I've been waiting for someone like you. Like you, like you, like you, like you, yeah. You make me"
30,"Under the tree where the grass don't grow. We made a promise to never get old. You had a chance, and you took it on me. And I made a promise that I couldn't keepHeartache, heartbreak, all over town. But something flipped like a switch when you came around. And I'm in pieces, pick me up, and put me togetherThese are the days we've been waiting for. On days like these, who could ask for more?. Keep them coming 'cause we're not done yet. These are the days we won't regret. These are the days we won't forgetThese are the days we've been waiting for. Rattle the cage, and slam that door. And the world is calling us, but not just yet. These are the days we won't regret. These are the days we won't forgetOut on the midnight, the wild ones howl. The last of the lost boys have thrown in the towel. We used to believe we were stars aligned. You made a wish, and I fell out ofTime flew, cut through, all over town. You make me bleed when I look up, and you're not around. But I'm in pieces, pick me up, and put me togetherThese are the days we've been waiting for. On days like these, who could ask for more?. Keep them coming 'cause we're not done yet. These are the days we won't regret. These are the days we won't forgetThese are the days we've been waiting for. Neither of us knows what's in store. You just roll your window down, and place your bets. These are the days we won't regret. These are the days we'll never forgetAnd these are the days (these are the days). And these are the days (these are the days)"
